监测时间,WS0202,WS0203,WS0204,WS0205,WS0206,WS0207,WS0208
2018/6/18,1.8,8.4,5.8,10.7,11.7,1.6,6.6
2018/6/19,2.7,9.2,4.4,10.9,11.2,2.1,6.2
2018/6/20,2.3,10.4,3.3,13,11.9,1.9,6.2
2018/6/21,1.6,10.4,3.1,13.9,12.4,1.2,6.1
2018/6/22,1.6,10.6,2.7,13.8,12.5,1.1,5.9
2018/6/23,2,11.0,2.7,14.2,12.5,1.3,6.5
2018/6/24,2.3,10.6,3,13.3,11.6,1.5,6
2018/6/25,2.5,10.5,3.8,13,10.6,1.9,6.1
2018/6/26,2.2,10.4,3.4,13.8,11.5,1.9,5.7
2018/6/27,2.4,11.6,4.3,13.5,12.1,1.2,5.4
2018/6/28,2.9,11.7,4.9,13.3,11.5,2,5.2
2018/6/29,3,11.5,5.6,13.4,11.5,2.1,6.1
2018/6/30,3,11.3,6.8,13.1,11.9,1.8,6.6
2018/7/1,3.1,10.4,7.2,12.2,11.5,2.2,6.4
2018/7/2,2.1,11.2,8.2,12.3,12.8,1.2,6.9
2018/7/3,3.6,10.5,8.2,11.7,11.6,2.3,5.9
2018/7/4,3.7,9.9,8.9,11.6,11,2.8,5.5
2018/7/5,2.7,10.5,9.8,11.9,11.6,2.7,6.8
2018/7/6,2.7,11.0,7.3,11.5,11.7,1.6,6.1
2018/7/7,2.6,11.7,5.9,12.4,11.4,0.8,5.9
2018/7/8,2.8,11.7,6.6,11.8,11.7,1.1,5.6
2018/7/9,2.9,11.3,7,11.8,12.4,1.9,5.9
2018/7/10,2.8,11.9,6.9,11.4,12.3,1.8,5.8
2018/7/11,4.1,12.3,7.5,10.9,11.6,2.7,4.9
2018/7/12,3.8,12.2,8.6,11.4,12.1,2.7,5.6
2018/7/13,3.4,11.2,9.8,12.4,11.6,2.3,5.7
2018/7/14,3.9,12.0,10.3,12,11.4,2.7,5.4
2018/7/15,4,12.2,10.8,11.6,11,2.9,5.6
2018/7/16,4,12.3,12.3,12.5,11.7,2.8,5.9
2018/7/17,4.7,12.1,13,11.6,11.7,3.1,5.4
2018/7/18,5.1,12.1,13.8,11.4,11.7,3,5.2
2018/7/19,5.5,12.4,15,11.9,11.7,3.1,5.6
2018/7/20,5.3,13.2,16.2,12.4,11.7,3,6.5
2018/7/21,5.3,12.4,17.4,11.7,11.7,2.9,6.8
2018/7/22,6.1,12.4,17,10.8,11.7,2.9,5.4
2018/7/23,7.3,12.1,17.5,10.8,11.7,3,5.6
2018/7/24,7.1,12.4,18.9,11.3,11.7,2.9,6.8
2018/7/25,7,13.3,19.2,10.7,11.7,3.2,6.1
2018/7/26,7.6,12.5,19.2,10.4,11.7,3.5,6.2
2018/7/27,7.8,12.6,19.5,10.6,11.7,3.6,6.4
2018/7/28,8.3,12.3,20.2,11,10.9,3.2,6.9
2018/7/29,8.4,12.2,19.8,10.9,9.8,3.6,6.7
2018/7/30,8.6,12.7,17.2,10.9,10.4,3.6,7
2018/7/31,8.9,13.7,16,11.1,11.3,3.4,5.9
2018/8/1,8.5,13.1,16.1,11.7,11.1,3.1,7
2018/8/2,7.9,13.7,16.3,11.8,11.9,2.7,7.5
2018/8/3,7.8,13.4,17.2,12.4,12.2,2.1,7.6
2018/8/4,8.5,12.7,17.6,12,11.7,2.5,7.4
2018/8/5,9.2,12.1,17.8,10.6,10.2,3.6,6.4
2018/8/6,9.9,12.5,17.4,10.5,10.3,3.7,5.9
2018/8/7,9.7,13.0,17.6,10.4,11,3.9,5.4
2018/8/8,9.6,13.5,17.8,10.8,11.6,3.6,5.4
2018/8/9,9.8,13.4,18.5,11.7,11.7,3.5,6.1
2018/8/10,10.1,12.7,19,12.4,11.7,3.5,6.7
2018/8/11,10.6,12.0,19.7,12.1,11,3.9,6.2
2018/8/12,10.4,12.0,20.5,12.3,11.2,3.8,6
2018/8/13,10.7,12.0,21.6,13.4,11.5,3.8,7
2018/8/14,10.6,12.8,21.8,15.2,11.9,3.2,7.2
2018/8/15,11.4,12.3,22.2,15.9,11.8,3.6,6.9
2018/8/16,11.8,11.7,22.2,16.2,11.3,3.9,6.7
2018/8/17,11.6,11.4,23.4,16.8,11.1,3.7,6.6
2018/8/18,11.5,10.9,23.9,17.4,11,3.9,7
2018/8/19,12.2,10.3,23.5,17.8,10.6,4.3,7
2018/8/20,12.4,10.6,23.2,18.8,10.9,3.8,7.1
2018/8/21,12.2,11.3,23,20.1,11.4,3.5,6.9
2018/8/22,12.9,10.5,22.4,20.2,11.2,4.4,6.6
2018/8/23,13.4,8.7,21.7,19.8,10.6,4.8,6.7
2018/8/24,13,8.6,21.6,20.2,11.1,4.2,7.1
2018/8/25,12.4,9.2,21.4,20.7,11.7,3.9,7.3
2018/8/26,13,10.0,20.7,20.8,11.3,3.8,7.2
2018/8/27,13.2,10.5,20.5,21.1,11.1,3.8,7.5
2018/8/28,13.1,10.4,20.8,21.5,11.2,3.5,7.7
2018/8/29,13.6,9.9,21,22.6,10.9,4.2,7.5
2018/8/30,14.2,9.0,20.3,23.8,10.4,5.4,6.5
2018/8/31,14.4,8.6,20.3,24.5,10.5,4.9,6.5
2018/9/1,14.3,8.4,20.4,27,10.5,4.4,6.8
2018/9/2,14.4,9.2,20.4,27.1,10,4.6,6.6
2018/9/3,14.4,8.9,20.1,26.7,9.9,5,6.4
2018/9/4,14.6,8.0,19.8,27.2,10.2,5.3,6.2
2018/9/5,14.6,7.5,19.9,27.9,10.4,5.1,6.8
2018/9/6,14.7,7.3,19.6,28.9,9.4,4.9,6.7
2018/9/7,14.5,7.1,20,30.2,9.6,4.2,7.3
2018/9/8,14.7,7.8,19.9,29.4,10,4.4,6.6
2018/9/9,14.7,8.2,20.6,29.9,10.4,5.3,6.6
2018/9/10,15,8.0,20.3,30.7,10.5,5.2,6.9
2018/9/11,14.8,8.4,20,31.5,10.5,5.1,6.4
2018/9/12,14.9,8.5,19.8,31.8,9.8,5.3,6.8
2018/9/13,14.8,9.4,20.4,32.2,10.4,5.1,8.1
2018/9/14,14.3,10.1,20.7,33.6,11.1,4.7,7.6
2018/9/15,14.3,10.1,20.1,33.9,10.9,5,7.5
2018/9/16,15,10.2,19.6,33.5,11,5.7,7.7
2018/9/17,15.6,9.3,18.8,34.2,10.5,5.7,7.9
2018/9/18,14.9,8.6,18.7,34.7,10.2,5.7,6.9
2018/9/19,14.9,9.3,19.1,33.7,9.9,6.2,6.6
2018/9/20,14.8,9.8,18.8,33.7,10.1,6.4,7.3
2018/9/21,12.9,11.2,19.5,33.7,11,5.2,8.4
2018/9/22,11.5,12.2,18.8,34.9,11.5,4.4,8
2018/9/23,11.7,12.0,17.9,34.8,10.8,5.1,7.6
2018/9/24,11.2,12.6,17.4,34.9,10.9,4.4,7
2018/9/25,11.1,12.6,16.7,34.9,11,4,7.8
2018/9/26,11.2,12.5,16.7,34.7,11.5,3.9,7.6
2018/9/27,10.9,13.0,16.7,35.3,11.7,3.8,7.1
2018/9/28,10.4,13.1,16.8,35.4,12.1,4,7.3
2018/9/29,10.6,12.5,16.8,35.2,12.1,4.4,7.1
2018/9/30,10.9,12.3,16.2,35,11.9,4.1,7.1
2018/10/1,11.2,12.2,16.8,34.8,11,4.3,7.2
2018/10/2,11.3,12.3,16.2,34.6,11.1,4.4,6.8
2018/10/3,11.3,12.2,16,34.5,11.4,4.5,6.6
2018/10/4,11.4,12.3,15.8,34.4,11.2,4.7,6.7
2018/10/5,11.4,12.0,16.4,34.1,11.4,4.6,6.9
2018/10/6,11.9,11.5,15.7,33.7,11,4.8,7.4
