Datetime,yandaoWD,chedaoWD,W
2015/1/24,-11.74521,-13.279174,-4.93
2015/1/25,-11.158844,-11.82489,-4.95
2015/1/26,-11.880066,-14.087066,-4.97
2015/1/27,-11.775666,-12.714386,-5.02
2015/1/28,-12.61618,-15.96521,-5.07
2015/1/29,-13.437348,-18.072968,-5.09
2015/1/30,-14.169984,-18.888886,-5.12
2015/1/31,-14.277252,-18.419068,-5.1
2015/2/1,-14.318604,-18.287994,-4.99
2015/2/2,-14.720886,-18.654114,-4.93
2015/2/3,-14.562988,-18.173004,-4.91
2015/2/4,-14.460144,-17.692994,-4.91
2015/2/5,-14.231446,-17.143218,-4.9
2015/2/6,-14.14505,-16.931336,-4.9
2015/2/7,-13.958496,-16.476258,-4.93
2015/2/8,-13.540192,-15.6109,-4.99
2015/2/9,-13.795502,-16.17508,-5.01
2015/2/10,-13.747224,-15.930878,-5.03
2015/2/11,-13.415772,-15.077514,-5.06
2015/2/12,-12.958282,-14.169952,-5.06
2015/2/13,-12.503296,-13.525818,-5.11
2015/2/14,-11.995972,-12.574494,-5.16
2015/2/15,-12.273896,-13.344208,-5.16
2015/2/16,-11.844056,-12.591888,-5.16
2015/2/17,-11.763398,-12.321838,-5.19
2015/2/18,-11.4758,-11.720154,-5.21
2015/2/19,-11.535462,-12.25415,-5.21
2015/2/20,-12.108094,-13.409332,-5.15
2015/2/21,-12.413238,-14.208648,-5.14
2015/2/22,-12.369386,-13.883392,-5.06
2015/2/23,-12.71396,-14.951782,-4.89
2015/2/24,-12.589538,-14.31491,-4.65
2015/2/25,-12.37561,-13.850524,-4.46
2015/2/26,-12.459718,-13.82669,-4.24
2015/2/27,-12.356384,-13.705414,-4.08
2015/2/28,-12.947602,-15.524598,-3.85
2015/3/1,-13.432496,-16.322846,-3.53
2015/3/2,-13.186066,-15.3508,-3.19
2015/3/3,-12.751252,-14.1698,-2.87
2015/3/4,-12.550842,-13.690002,-2.71
2015/3/5,-12.71759,-14.32663,-2.59
2015/3/6,-13.315614,-16.026154,-2.51
2015/3/7,-13.276398,-15.602906,-2.46
2015/3/8,-12.833038,-14.064392,-2.46
2015/3/9,-12.524812,-13.791778,-2.47
2015/3/10,-12.2565,-12.50882,-2.48
2015/3/11,-12.4628,-13.860352,-2.44
2015/3/12,-12.50534,-13.892212,-2.48
2015/3/13,-12.034332,-12.884308,-2.54
2015/3/14,-11.329744,-10.97229,-2.6
2015/3/15,-11.310396,-11.474182,-2.68
2015/3/16,-11.274232,-11.717498,-2.73
2015/3/17,-10.940004,-10.657104,-2.77
2015/3/18,-10.7995,-10.393738,-2.69
2015/3/19,-11.4599,-12.641632,-2.53
2015/3/20,-11.482332,-12.273224,-2.37
2015/3/21,-11.706482,-12.97705,-2.28
2015/3/22,-11.046082,-11.352784,-2.22
2015/3/23,-10.489624,-9.749878,-2.21
2015/3/24,-10.316316,-9.974976,-2.26
2015/3/25,-10.414948,-10.429748,-2.31
2015/3/26,-9.948488,-9.845978,-2.43
2015/3/27,-10.489686,-11.094086,-2.55
2015/3/28,-10.220002,-10.288086,-2.66
2015/3/29,-9.79834,-9.268952,-2.81
2015/3/30,-9.875458,-9.68747,-2.87
2015/3/31,-9.544252,-8.935578,-2.81
2015/4/1,-8.208772,-6.333314,-2.59
2015/4/2,-7.994966,-6.798676,-2.36
2015/4/3,-9.120484,-8.338928,-2.17
2015/4/4,-9.097566,-8.293304,-1.92
2015/4/5,-9.657868,-10.067964,-1.25
2015/4/6,-10.131044,-11.297516,-0.49
2015/4/7,-10.26001,-11.011108,-0.03
2015/4/8,-11.16626,-13.589264,0.21
2015/4/9,-11.117096,-12.89679,0.46
2015/4/10,-10.856264,-11.954406,0.59
2015/4/11,-10.322358,-10.796662,0.65
2015/4/12,-9.693574,-9.300842,0.58
2015/4/13,-9.599182,-9.618744,0.51
2015/4/14,-9.784334,-10.236084,0.41
2015/4/15,-9.421692,-9.232972,0.26
2015/4/16,-9.57901,-10.002168,0.05
2015/4/17,-8.684266,-7.749512,-0.2
2015/4/18,-8.001466,-6.26767,-0.52
2015/4/19,-7.937744,-6.590638,-0.8
2015/4/20,-8.638062,-7.79364,-1.03
2015/4/21,-8.968812,-9.171082,-1.04
2015/4/22,-8.650636,-8.39447,-0.95
2015/4/23,-7.979126,-6.570038,-0.83
2015/4/24,-7.585786,-6.062928,-0.74
2015/4/25,-7.374604,-5.91327,-0.68
2015/4/26,-6.956848,-5.358734,-0.65
2015/4/27,-6.679016,-4.876618,-0.63
